batch,source_rows,em_index_rows,me_reverse_rows,index_rows,blank_maithili_sense,shards,index_file
015,1064,1064,1107,2171,0,30,data/index_part_21_pilot_015.js
016,1000,1000,1000,2000,1000,22,data/index_part_22_pilot_016.js
017,1000,1000,1000,2000,1000,24,data/index_part_23_pilot_017.js
018,1000,1000,1001,2001,1000,26,data/index_part_24_pilot_018.js
019,1000,1000,1000,2000,1000,24,data/index_part_25_pilot_019.js
020,1000,1000,1000,2000,1000,21,data/index_part_26_pilot_020.js
021,1000,1000,1000,2000,1000,21,data/index_part_27_pilot_021.js
022,1000,1000,1000,2000,1000,23,data/index_part_28_pilot_022.js
023,295,295,295,590,295,20,data/index_part_29_pilot_023.js
024,1000,1000,1961,2961,1000,33,data/index_part_30_pilot_024.js
025,1000,1000,1503,2503,1000,44,data/index_part_31_pilot_025.js
026,1000,1000,1158,2158,1000,27,data/index_part_32_pilot_026.js
027,1000,1000,1009,2009,1000,27,data/index_part_33_pilot_027.js
028,1000,1000,1187,2187,1000,30,data/index_part_34_pilot_028.js
029,1000,1000,1113,2113,1000,32,data/index_part_35_pilot_029.js
030,1000,1000,1082,2082,1000,37,data/index_part_36_pilot_030.js
031,1000,1000,1094,2094,1000,35,data/index_part_37_pilot_031.js
032,1000,1000,1092,2092,1000,33,data/index_part_38_pilot_032.js
033,1000,1000,1305,2305,1000,33,data/index_part_39_pilot_033.js
034,1000,1000,1047,2047,1000,28,data/index_part_40_pilot_034.js
035,1000,1000,1316,2316,1000,31,data/index_part_41_pilot_035.js
036,1000,1000,1332,2332,1000,29,data/index_part_42_pilot_036.js
037,1000,1000,1402,2402,1000,31,data/index_part_43_pilot_037.js
038,1000,1000,1335,2335,1000,31,data/index_part_44_pilot_038.js
039,1000,1000,1340,2340,1000,33,data/index_part_45_pilot_039.js
040,1000,1000,1325,2325,1000,30,data/index_part_46_pilot_040.js
041,1000,1000,1325,2325,1000,29,data/index_part_47_pilot_041.js
042,1000,1000,1364,2364,1000,31,data/index_part_48_pilot_042.js
043,1000,1000,1346,2346,1000,30,data/index_part_49_pilot_043.js
044,1000,1000,1351,2351,1000,30,data/index_part_50_pilot_044.js
045,1000,1000,1341,2341,1000,30,data/index_part_51_pilot_045.js
046,1000,1000,1315,2315,1000,32,data/index_part_52_pilot_046.js
047,423,423,550,973,423,32,data/index_part_53_pilot_047.js
048,1000,1000,1073,2073,1000,28,data/index_part_54_pilot_048.js
049,1000,1000,1009,2009,1000,30,data/index_part_55_pilot_049.js
050,1000,1000,1031,2031,1000,33,data/index_part_56_pilot_050.js
051,1000,1000,1015,2015,1000,30,data/index_part_57_pilot_051.js
052,765,765,872,1637,765,33,data/index_part_58_pilot_052.js
053,1000,1000,562,1562,1000,52,data/index_part_59_pilot_053.js
054,1000,1000,600,1600,1000,52,data/index_part_60_pilot_054.js
055,1000,1000,597,1597,1000,49,data/index_part_61_pilot_055.js
056,1000,1000,676,1676,1000,51,data/index_part_62_pilot_056.js
057,1000,1000,774,1774,1000,50,data/index_part_63_pilot_057.js
058,1000,1000,632,1632,1000,44,data/index_part_64_pilot_058.js
059,1000,1000,494,1494,1000,49,data/index_part_65_pilot_059.js
060,1000,1000,305,1305,1000,49,data/index_part_66_pilot_060.js
061,1000,1000,518,1518,1000,39,data/index_part_67_pilot_061.js
062,1000,1000,535,1535,1000,30,data/index_part_68_pilot_062.js
063,1000,1000,520,1520,1000,35,data/index_part_69_pilot_063.js
064,1000,1000,531,1531,1000,27,data/index_part_70_pilot_064.js
065,1000,1000,559,1559,1000,29,data/index_part_71_pilot_065.js
066,1000,1000,500,1500,1000,52,data/index_part_72_pilot_066.js
067,1000,1000,428,1428,1000,46,data/index_part_73_pilot_067.js
068,1000,1000,409,1409,1000,48,data/index_part_74_pilot_068.js
069,1000,1000,422,1422,1000,48,data/index_part_75_pilot_069.js
070,1000,1000,570,1570,1000,49,data/index_part_76_pilot_070.js
071,1000,1000,378,1378,1000,47,data/index_part_77_pilot_071.js
072,1000,1000,228,1228,1000,47,data/index_part_78_pilot_072.js
073,1000,1000,453,1453,1000,43,data/index_part_79_pilot_073.js
074,1000,1000,529,1529,1000,41,data/index_part_80_pilot_074.js
075,1000,1000,376,1376,1000,54,data/index_part_81_pilot_075.js
076,1000,1000,447,1447,1000,46,data/index_part_82_pilot_076.js
077,1000,1000,315,1315,1000,49,data/index_part_83_pilot_077.js
078,1000,1000,427,1427,1000,53,data/index_part_84_pilot_078.js
079,1000,1000,431,1431,1000,50,data/index_part_85_pilot_079.js
080,1000,1000,465,1465,1000,54,data/index_part_86_pilot_080.js
081,1000,1000,477,1477,1000,45,data/index_part_87_pilot_081.js
